topic_id,document_id,probability,text
2,3271,0.055359416,hidup damai damai nih konten capek balesin komennya
2,9517,0.055196106,isi inter juara ucl hahahaha awas
2,10467,0.05496171,maybe another life capee dengernya
2,4872,0.054695256,inimah lomba prompt
2,33639,0.05468165,sudah euforia timnas mari kawal
2,21116,0.054673158,man rendah wut wut wut
2,27388,0.054670557,lanjutin nanggung
2,8936,0.0546578,life break
2,16467,0.054580603,halaah alah logic kontak perempuan temuin tanyain body count gimana emosi least hidup whatsoever
2,1039,0.054575417,perkara lahir nanggung derita keluarga zaman caci maki nasib
2,1415,0.054373804,orang ngebenci orang postingan sec accnya ngeshare her life worklife sambat bisa benci heran orang iri dengki cih
2,4242,0.05393611,marah nomor pakai jamin pinjol kenal kenal ketemu langsung chatan chatan nyantumin nomor kontak darurat spaylatter
2,10501,0.053840958,urge block who start chat with who think
2,21418,0.053572793,kang dedi asupkeun urang barak kang dedi
2,31425,0.053535793,gimana life break
3,3466,0.06827876,indikasi begal payudara tolong daerah surabaya arah jiwo kalirungkut waspada grab plat nef tolong lacak plat orang ngikutin arah jiwo
3,22670,0.06796439,nan allah apas anjgg faedah begal payudara najis amit
3,20611,0.06655724,anybody tolong bantu sebar luas orang kriminal sore curi sepeda motor area lidah wetan surabaya motor plat honda scoopy warna grey
3,1019,0.06637317,guys jln tutup lebaran arah jatim jabar niat pulkam bus rekomendasi bus mna better jalan prov kemaren tipu calo encok badan bekas surabaya buss ekonomi
3,13405,0.06621977,stevee kerrr tua kolot mainin looney bubar
3,1551,0.0659993,bilang cantik makeup natural emang orang bangun tidur warna bibir shade delicate
3,15109,0.06592467,siang nganter dago dikirain macet gataunya najis mugoladoh macet amit stuck gara bnyak parkir pinggir jalan mah jalan sempit nanjak turun mesti ganti mepet naro kendara pinggir jalan ngotak dikit
3,1730,0.06517336,mood najis closing sore keburu nginput faktur tambah pasang miring ujung nempel layar kontoll kontoll doi direspon ganti bahas topik apas hari
3,29809,0.06500287,gilak guys tipu sasar via marketplace rem kurir libat hati hati masuk perangkap panik moga buruk timpa orang aamiin
3,30632,0.06497046,marah marahh part kurban hasil edgen bad project mending garap
3,19734,0.06444214,naek motor mobil ngawur celaka nyelakain motor aerox plat kuning item bonceng mobil avanza putih plat mata dipake klakson minggir mepet pelan salip
3,1715,0.06426695,kasi bayi bully kandung gara kulit item bapak anak lucu muak lihat orang bully bayi
3,33322,0.06400078,klen suka ngeklakson lampu merah stop tolong klen buru buru ngotak lampu merah macet klen ngeklakson brutal sakit kuping misa buru buru brkt kok gausa mepet mepet
3,5445,0.06371227,orang gigi bolong mah tambal dokter gigi mlah suruh kumur daun sirih kocak
3,15213,0.06342214,fck niat nolong begal barusan nongkrong jam malioboro lampu merah rel lihat mobil hiace atas panci gelas jadul liatin mastiin aksesoris deketin sopir klakson
3,31576,0.06340281,heran orang bikin sambel manis sambel manis cabe cipta pedas bikin manis frustasi
3,4003,0.06338986,rujuk faskes rujuk pol jiwa faskes suka kena mental dokter faskes bolak faskes down panjang rujuk wkwkkwkw
3,25700,0.06331855,lampu merah fatmawati
3,23014,0.06324734,macet total pagi parung iya pagi orang berangkat kerja sekolah supir sebal bisa klakson mulu macet total harap klakson jalan
3,29102,0.06296032,tiktok puji puji pimpin halah taik
4,14304,0.062707245,tulang punggung madrid
4,800,0.06214492,bca log out verifikasi mulu beli makan laper makan pagi hubungin bca respon bantu
4,1448,0.062027603,ingat transaksi market place suruh scan qris alas kyak chat hati tipu karna qrisnya beda nama tiktok orang nipu anjiir nawaitu sedekah lanjur jgk blok nomor
4,6536,0.062019847,asa mainin trust issue gede gaban ngulangin anjjjjiirrr bimbang udahan
4,14333,0.06197048,pure bapuk musim madrid madrid
4,30335,0.061347034,habis nemuin history suami mana psikolog psikiater marah nang sanggup
4,2205,0.060591273,now lil sis her husband live next room don kamar ajar anjrittt
4,21498,0.060237695,heran orang bercandain orang psikiater empati dikit orang pasien psikiater empati yaallah nemuin orang gitu lapangin hati allahhh
4,3643,0.059768304,tolong suka dapet sms kode otp tanda hack gimana deh takut
4,14238,0.059701364,mbappe tulang punggung madrid anjay
4,35607,0.05914092,guys nanya pakai indosat sms daftar apa butuh kode otp sms bingunh sms otp beneran dar promosi mohon bantu terima kasih
4,1734,0.059139427,jam gin nangisin idol kpop ngestan lsf salah
4,671,0.059113786,sumpah sebel teman tolol banget bilang ortunya nginep rmh bilang jemput ortunya staycation mantan biadab ortunya nyariin subuh keliling kasi
4,2909,0.058918346,nyangka masalah pertalite pertamax plot twist bikin nyesek pol asli sakit
4,14091,0.0588351,madrid oon
4,24228,0.05883475,error masalah
4,14269,0.058824662,haha madrid
4,5431,0.05881207,fik back lol
4,1272,0.058790497,now one those crazy girls
4,23790,0.058418985,lacak orang telegram
5,4832,0.06426773,shakira bicara merinding bangga sebutin daging omongin shakira nyerep
5,397,0.063442186,aduh capek ngumpulin energi excited bales bahas mulu capek
5,1750,0.063035615,cwok tuhh langka kahh hehh iya yakult manusia
5,36523,0.06151305,indosat isi pulsa pakai sedot puluh rebu
5,3283,0.061326534,being youngest child expected always available for fam capek
5,1858,0.06069949,cwek tuhh langka kahh hehh iya ikan buntel manusia
5,3547,0.06053987,viral endingnya pulang wkwkwkwkwk
5,35076,0.060143463,gay kahh pda ngasih panggung kaum sodom ahli neraka jahanam
5,378,0.05987735,efisiensi monyett teman bia dom mamminasata off sumpahh kembang transum daerah jabodetabek mundur stuck bagus transum anak kuliah huhuhuhu
5,2673,0.058758993,perempuan tuhh langka kahh hehh iya yakult manusia
5,5695,0.0586394,orang orang sen kereta kursi kereta dudukin kursi orang sii nyebelin
5,1052,0.058526978,hati hati lonte pukimak jahanam
5,27477,0.058465976,karna idul adha mana bau kambing
5,13717,0.05834853,nyebelin pepek
5,30946,0.05834587,nasi mateng dicolokin pukimak
5,6354,0.05834352,excited sndirian kntol
5,36221,0.05832945,cap celup cwek nuajisssssssss
5,29013,0.058322534,nnton mdc kursi bioskop oblak
5,23316,0.058321174,replynya dongo bjirr
5,25715,0.058304284,minim literasi comsect nye
6,231,0.06824495,guys tlg hak asuh rebutin thread maaf beranta first time thread
6,32127,0.06753415,ngomongin raja ampat
6,4163,0.0675076,tod dingin kampret pakai celana pendek
6,15808,0.06749189,buku tulis biji masyaallah
6,34147,0.067473985,gagal first date
6,6019,0.067423984,kim namgil kata gibran
6,507,0.06625059,first time nemenin pria main bola teman bjir
6,7487,0.06623984,pria suka force convo ngomongin ama cewenya random convo enak yak
6,5844,0.065822236,awan pulau jawa mana panas
6,2451,0.06578258,ngakak sie mantan banggain masalalunya wanita high value pdahal masalalunya celup
6,33090,0.06566954,bicara eksploitasi raja ampat gagal perintah lindung alam kaget raja ampat rusak nikel milu gaung lantang hilir salah hilir nikel
6,13952,0.06519369,spend lot money time but why still mad goddamnt
6,403,0.0651437,sumpah tipu gedek ngakalin orang tua gaptek gabut teror nomor dendam
6,1762,0.064111136,cwok pendek woi jodoh sma manusia pendek mulu bjingann banting tod body shaming yakali jingg tara oke beda bgituu alahh nikah
6,21713,0.06392426,bilang permisi bikin ego lemah setan warung ayam geprek panas
6,3937,0.06392178,spp nyebelin info lokasi tes bjirr bayangin rumah pulau transportasi batas tes provinsi
6,11530,0.063648716,ehh orang twitter ributin lihat twitt orang rekomen game gabut komen liat jembut main game maksud
6,28515,0.06360484,solo tonight mizu tar
6,175,0.063593075,tawarin digicam
6,3192,0.0635916,wts tawarin cushion instaperfect shade light marigold
7,1500,0.3170765,guys help kena tipu salah oknum driver grab food lapor grab via aplikasi feedback apa tipu sempet nipu orang modus pesan selesai tolong bantu
7,30570,0.31485817,malam gais tolong bantuin abiss kena tipu niat beli nemu akun jual tiktok chat instagram orang beli nanya
7,7614,0.31460243,guys bantu viralin habis tipu egi maulana sidik nomor tolong bantu spam bantu tambahin info kenal bank bni dana nama egi maulana sidik
7,13878,0.31420928,guys tolong help kena tipu orang beli burung inbox tipu habis percaya karna ngirim bukti bel sadar cek
7,1013,0.31316465,teman jastip crocs inara jastipsgp juli februari kemarin sempet komun bantu ulang tolong bantu retweet
7,17625,0.31259233,dapet chat lihat nama alamat asing tipu gilir cek beneran typing ganti akun beda nomor ngomong-ngomong guys aware yah
7,18235,0.3122525,guys modus nipu order fiktif nih gimana sistem emang duit cod masuk tipu kah toko tera resi tipu kah barusan jadi kurir kirim paket nama sen syopi cont
7,22007,0.3122456,guys tolong bantu tolong biar korban jovy tipu ngomong-ngomong kenal samaa jovy tlgg guys terima kasih
7,6667,0.31223118,guys bantu spam orang sumpah bayar barang kesal cerita jadi komen tolong bantu spam biar bayar list barang beli bikin rugi
7,23952,0.31218886,halo teman teman maaf tolong aky dapet tfan orang bank beda jeda menit uang kirim foto gatau isi karna buka tipu karna jujur aneh
7,28326,0.3117914,guys aduhh kena tipu tipu gimana biar nomor orang blokir musnah deh chat temenku pakai nama asli paket data temenku kuras isi kemarin
7,7109,0.3116341,serius nanya gais ngomong-ngomong share alam chat kenal bilang utang utang bjir data info ngalamin
7,11194,0.3114894,orang bandung rental mobil nama cakrawala trans grup sumpah tolong spill jadi aneh mastiin tipu gimana
7,14953,0.31131992,guys guna dana app barusan cek dana app transaksi curiga beli transaksi apa potong instantvision jadi kaya balikin uang gimana yah mohon bantu
7,34174,0.31104377,gaiss tolong bantu tagih utang sengak pura amnesia ngilang tukeran temennya tagih susah butuh uang semester akhir terima kasih bantu
7,10988,0.31090197,guys doxxing nomor kah habis kena tipu nih nomernya bayar gamasalah bikin lapor polisi data orang
7,37901,0.3108694,jastip tipu tipu bantu viralin biar korban gaess kronologi kemarin war converse ngepost converse coba beli situ tolong beli komen bawah serang akun rame rame biar korban
7,8718,0.3106797,halo teman teman kena scam kasih saran gimana bekuin akun bank buktiny sertain bawahg
7,6638,0.31065184,habis tipu beli akun tiktok jual tipu orang sebenernya gamasalah nominal saldo tinggal msalahnya niat baik jual bantu orang tua
7,16373,0.3106232,guys tolong help bingung sen barang tokped instan sen kemarin sore terang tuju jam chat toko ktanya kurir toko barang ambil gimana guys
8,1218,0.07263876,okok pasif bahaya hirup asap vape pod rutin pasif bahaya kah siswa zaman mau gaya hirup asep mah cotton candy ganggu lingkung ngentof
8,24489,0.071347274,ceunah cinta moal renti teu gableg pikir sia mah
8,3329,0.06973021,dengerin kelibat lagu garam madu lirik malam syin dilebay nyanyi malam keos
8,593,0.06950081,akun anitwt temenannya anitwt yapping their faves malu betapa cinta husbu waifu couple gepeng anitwt nongol say good morning good night esensi anitwtnya
8,7159,0.06894446,guru ngajar ngasih catat abrek praktek jigggggg
8,1284,0.06872859,tiktok rame bjirrr jalan kaki mek orang thailand gokil bingung mekah njirrr
8,12292,0.06868,sdm indo rendah gimana liat wisuda pisah guru guru
8,2882,0.068215124,sumpah kesal sekolah ngeselin april mei tuhkan jadwal utbk april kasih uprak praktek teori kesal sekolah presentase lulus ptn snbt
8,17567,0.06818235,orang nyilangin kaki duduk kereta kondisi penuh egois
8,16542,0.068018526,okay everyone have their own opinion
8,22239,0.06770174,bentar rsj penuh fans emyu
8,4252,0.06757078,kesal sial guru mtk pelit nilai
8,895,0.067533396,blokir salah mod komunitas muslim support muslim salah muslim support muslim ngeblokir orang join komunitas nambah ilmu idih mention salah modnya gubris lol
8,5353,0.06733081,pria perempuan ngambeknya perempuan hrsnya bujuk nyaa bujuk eek
8,22227,0.067237124,redahin amarah tim emyu gakuat anjunggdghhggg
8,21811,0.06693595,silent treatment bget
8,220,0.06693458,target ramai diposting social media reuters
8,26831,0.06693452,emyu tim
8,28214,0.06693452,emyu tim tarkam eropa
8,38277,0.066921875,hate when look weak front parents
9,7899,0.39701384,capek kakak kaya setan allah laku anak umur kepala hutang judol yatim piatu kakak cover biaya sekolah nampung hidup
9,13509,0.39606246,kakak tiri ceritain beban miskin laki kerja hobi anak dateng rumah semenjak pensiun ngapain kawin ngarep duit orang tua
9,525,0.39587724,sakit badan sakit hati bingung sodara kandung pria umur kepala istri anak mas betah numpang rumah orang tua gaya idup hedon mulu orang tua dikelantarin
9,1627,0.39571288,pov tinggal indo jalan pakai payung lewatin tukang ojek kiw mana ujan henti ladenin ujan enak rmh tdr pantes nganggur kerja ujan dikit ngeluh dasar anggur malas
9,1577,0.39446148,harap ken adik dapet uji ajar allah bikin ngerti susah cari duit bentakin orang tua bikin sesal umur hidup adik pria sekolah sma laku ajar suka teriak
9,31796,0.39381692,manusia benci muka bumi kakak tua umur kaga nikah kaga cepet pindah rumah hobi marah kaga marah hari mencret orang bikin sebel mandi gedor pintu kamar mandi rusak
9,25250,0.39337033,mah mending kaga abang nyusahin rumah duit mulu keluarga kejar kejar orang gara-gara utang moga cepet mati
9,22421,0.39275023,adik pria beban rumah ngerjain kerja pagi pagi main malam begadang pagi bangun siang tinggal makan main game kadang main tinggal teriak duit
9,1816,0.39268583,jam gin ngomel ngomel salur air air kamar mandi nutup pakai batu air kamar mandi tinggal rumah kampung rumah deketan
9,3606,0.3922575,disalahin disalahin nyusahin orang tua kerja bilang beban pikir nikah bikin sakit hidup salah
9,29257,0.39211088,anak duit dikit langsung dimintain mulu pegang giat gampar suami kerja enak enak beban kepala rumah tangga setan gilir ngedumelin suami bain mulu najis muna
9,16862,0.39210454,capek ayah gapernah ngenafkahin mau kerja ngasih duit pinjam duit anak lulus
9,1008,0.39196265,bikin salah bicara udahlah diributin gilir bikin salah dosa najis sodara kandung mah ludahin
9,31716,0.3917527,anak bungsu ngayap pagi malam sekolah belok gatau mana orang tua nngis nungguinnya gilir anak sulung suruh pergi rumah alias usir hidup uniqlo
9,1748,0.39132214,numpang keluh kesah hidup capek asli ngadepin sifat minus komplit toxic anti kritik ringan tangan keras kepala kamus orang tua dzolim anak anak dzolim orang tua
9,3263,0.39125344,suami nyuruh istri ngutang ayah mama cerai laki rezeki dateng laki hidup najis ayah tukang judol anak mati
9,1844,0.39122653,tetangga suka ngeramein mulu pagi siang malam mulut teriak mulu bicara ama anak istri teriak suka geber motor
9,31313,0.39110634,orang suka kucing kesal tetangga belah kucing berak depan rumah mulu badmood parah pulang kerja slalu disuguhin bau capek nang
9,5276,0.3910689,capek tiri sllu marah ngebhs uang pdahl ulah sndri sellu ngambil cicil gaji cicil bulan gaji mak kerja kebuthan hari kna omel ama ngomel kta klr main tangan
9,5383,0.39094347,ngerti jalan pikir umur gin asik asiknya main nyuruh nikah mulu usir gara-gara bilang nikah
